Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-09-26,Stock,盛弘股份(300693.XSHE),Long,4100Shares,0Shares,36.4,149240,11480,33.6,-,0,11480,4100Shares,8.33%,193205.98,77.24%
2022-09-26,,Cash,,,,,1099.98,,,,,,,,0
2022-09-27,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,429.5,42950,1987,409.63,-,0,84,0Shares,4.85%,190525.32,22.54%
2022-09-27,Stock,紫金矿业(601899.XSHG),Long,100Shares,0Shares,7.85,785,14,7.71,-,0,14,100Shares,1.82%,190525.32,0.41%
2022-09-27,,Cash,,,,,146790.32,,,,,,,,0
2022-09-28,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,416.79,41679,781.28,408.977,-,0,-1205.72,0Shares,1.91%,189269.55,22.02%
2022-09-28,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.48,748,-23,7.71,-,0,-37,0Shares,-2.98%,189269.55,0.4%
2022-09-28,,Cash,,,,,146842.55,,,,,,,,0
2022-09-29,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,419,41900,1002.28,408.977,-,0,221,0Shares,2.45%,188746.58,22.2%
2022-09-29,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.7,770,-1,7.71,-,0,22,0Shares,-0.13%,188746.58,0.41%
2022-09-29,Stock,中国铝业(601600.XSHG),Long,36100Shares,0Shares,4.04,145844,-722,4.06,-,0,-722,36100Shares,-0.49%,188746.58,77.27%
2022-09-29,,Cash,,,,,232.58,,,,,,,,0
2022-09-30,Stock,宁德时代(300750.XSHE),Long,100Shares,100Shares,400.89,40089,-808.72,408.977,-,0,-1811,0Shares,-1.98%,190198.58,21.08%
2022-09-30,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.84,784,13,7.71,-,0,14,0Shares,1.69%,190198.58,0.41%
2022-09-30,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.13,149093,2527,4.06,-,0,3249,0Shares,1.72%,190198.58,78.39%
2022-09-30,,Cash,,,,,232.58,,,,,,,,0
2022-10-10,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.77,777,6,7.71,-,0,-7,0Shares,0.78%,187649.35,0.41%
2022-10-10,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.08,147288,722,4.06,-,0,-1805,0Shares,0.49%,187649.35,78.49%
2022-10-10,,Cash,,,,,39584.35,,,,,,,,0
2022-10-11,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.88,788,17,7.71,-,0,11,0Shares,2.2%,188743.35,0.42%
2022-10-11,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.11,148371,1805,4.06,-,0,1083,0Shares,1.23%,188743.35,78.61%
2022-10-11,,Cash,,,,,39584.35,,,,,,,,0
2022-10-12,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.99,799,28,7.71,-,0,11,0Shares,3.63%,191662.81,0.42%
2022-10-12,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.17,150537,3971,4.06,-,0,2166,0Shares,2.71%,191662.81,78.54%
2022-10-12,Stock,三七互娱(002555.XSHE),Long,2600Shares,0Shares,15.09,39234,754,14.8,-,0,754,2600Shares,1.96%,191662.81,20.47%
2022-10-12,,Cash,,,,,1092.81,,,,,,,,0
2022-10-13,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.84,784,13,7.71,-,0,-15,0Shares,1.69%,192392.81,0.41%
2022-10-13,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.2,151620,5054,4.06,-,0,1083,0Shares,3.45%,192392.81,78.81%
2022-10-13,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,14.96,38896,416,14.8,-,0,-338,0Shares,1.08%,192392.81,20.22%
2022-10-13,,Cash,,,,,1092.81,,,,,,,,0
