,carry_return,funding_return,post_trade_return,fee_return,gross_return,net_return,nav,starting_equity,gross_exposure,net_exposure,long_exposure,short_exposure,long_count,short_count,turnover
2022-04-05,-0.0011055887332390552,1.1362222222222214e-05,-0.0042481545745985,-3.809523809523809e-05,-0.005342381085615334,-0.005380476323710572,1.812714343621159,492.08050025871455,0.8412698412698411,0.0,0.4206349206349205,0.4206349206349206,27,16,0.09523809523809523
2022-04-06,-0.007896198768183465,7.5861904761904775e-06,-0.004684507697224357,-3.809523809523809e-05,-0.012573120274931631,-0.01261121551302687,1.7898538123701975,489.43287277771293,0.8571428571428569,0.0,0.4285714285714286,0.4285714285714285,26,17,0.09523809523809523
2022-04-07,-0.0052804702862414505,-2.7116111111111105e-05,-0.0005725105706081425,-3.809523809523809e-05,-0.005880096967960704,-0.005918192206055942,1.7792611134878487,483.26052933995334,0.8412698412698407,0.0,0.4206349206349206,0.4206349206349206,27,18,0.09523809523809523
2022-04-08,0.003376368287128915,1.718023809523809e-05,0.00027602564736400447,-3.809523809523809e-05,0.003669574172588158,0.0036314789344929197,1.7857224627404422,480.40050064171913,0.8888888888888886,0.0,0.4444444444444443,0.4444444444444444,29,18,0.09523809523809523
2022-04-09,-0.009465863553270022,-7.919444444444443e-06,0.0022985556690258984,-3.809523809523809e-05,-0.007175227328688569,-0.007213322566783807,1.772841470601944,482.1450649399194,0.857142857142857,0.0,0.4285714285714284,0.4285714285714286,30,19,0.09523809523809523
2022-04-10,0.0021213543760397425,1.3217619047619051e-05,-0.0015036849176448363,-3.809523809523809e-05,0.0006308870774425252,0.000592791839347287,1.7738923965581734,478.66719706252485,0.8412698412698407,0.0,0.42063492063492036,0.4206349206349206,32,20,0.09523809523809523
2022-04-11,-0.0038760208776789716,2.5328571428571428e-05,-0.0014994584405250257,-3.809523809523809e-05,-0.005350150746775426,-0.005388245984870664,1.7643342279748262,478.95094707070683,0.8571428571428565,0.0,0.4285714285714284,0.4285714285714285,32,23,0.09523809523809523
2022-04-12,-0.0008263491976955224,-4.316515873015874e-05,-0.0008079045354155837,-3.809523809523809e-05,-0.0016774188918412649,-0.001715514129936503,1.7613074876768047,476.3702415532031,0.8571428571428565,0.0,0.4285714285714284,0.42857142857142855,31,24,0.09523809523809523
2022-04-13,0.000673418798420326,-1.823333333333334e-05,0.0005450132756221793,-3.809523809523809e-05,0.001200198740709172,0.0011621035026139338,1.763354309277414,475.55302167273726,0.8571428571428568,0.0,0.4285714285714284,0.4285714285714285,31,23,0.09523809523809523
2022-04-14,0.003749061483670112,6.87984126984127e-06,-0.0003107555929414379,-3.809523809523809e-05,0.003445185731998515,0.003407090493903277,1.7693622169819363,476.10566350490177,0.8571428571428565,0.0,0.4285714285714285,0.4285714285714285,31,24,0.09523809523809523
