,long_return,short_return,long_price_return,short_price_return,long_funding_return,short_funding_return,long_fee_return,short_fee_return
2023-05-27,0.0012706930933708786,-0.008357276741113003,0.0013224769822597674,-0.008370219558573321,-3.273626984126984e-05,3.19904365079365e-05,-1.9047619047619046e-05,-1.9047619047619046e-05
2023-05-28,0.002957992313980443,-0.005348659045706662,0.0030139931869963164,-0.005377990394913011,-4.64770634920635e-05,4.837896825396826e-05,-9.523809523809525e-06,-1.9047619047619046e-05
2023-05-29,0.006745737391703287,-0.009028729838112976,0.0067970692171001115,-0.009055916306366945,-4.180801587301588e-05,4.9408690476190484e-05,-9.523809523809525e-06,-2.222222222222222e-05
2023-05-30,-0.006231061190520427,0.004894315083696039,-0.006192288888933125,0.0048770954408388955,-2.6073888888888892e-05,3.9441865079365087e-05,-1.2698412698412699e-05,-2.222222222222222e-05
2023-05-31,0.005092727450561854,-0.005916182509076359,0.005153493164847569,-0.005946732112250962,-4.171809523809525e-05,4.642261904761905e-05,-1.9047619047619046e-05,-1.5873015873015872e-05
2023-06-01,-0.013988271391850621,0.014043580027469174,-0.013935173455342686,0.014012618856834252,-3.405031746031747e-05,5.000878968253968e-05,-1.9047619047619046e-05,-1.9047619047619046e-05
2023-06-02,-0.0010183577944594983,0.0018704376559657181,-0.0009542282706499745,0.0018340136083466706,-4.5081904761904764e-05,4.9122460317460325e-05,-1.9047619047619046e-05,-1.2698412698412699e-05
2023-06-03,0.007958594692784706,-0.03061831284019499,0.008026055010245023,-0.030650616173528326,-4.841269841269841e-05,4.500174603174603e-05,-1.9047619047619046e-05,-1.2698412698412699e-05
2023-06-04,-0.0007036432154885217,0.003992264843865291,-0.0006521784535837597,0.0039797214311668785,-3.2417142857142855e-05,2.5241825396825396e-05,-1.9047619047619046e-05,-1.2698412698412699e-05
2023-06-05,-0.0021986823471834577,0.0027566682570839664,-0.0021352102043263148,0.0027310468285125377,-4.7599126984126986e-05,3.831984126984127e-05,-1.5873015873015872e-05,-1.2698412698412699e-05
2023-06-06,-0.047073723727077084,0.04390347738397175,-0.047057065016759624,0.04388701349508286,-7.134900793650791e-06,3.551150793650794e-05,-9.523809523809525e-06,-1.9047619047619046e-05
2023-06-07,0.016310949205986348,-0.013121452206189751,0.016373735694081584,-0.013152619666507211,-4.691347222222221e-05,4.704047619047619e-05,-1.5873015873015872e-05,-1.5873015873015872e-05
2023-06-08,-0.02343988780857394,0.006579248277578676,-0.02338893518952632,0.00655386032122947,-3.825420634920634e-05,4.4435575396825405e-05,-1.2698412698412699e-05,-1.9047619047619046e-05
2023-06-09,-0.0010390085528797232,0.011027870614654734,-0.0010726623624035326,0.011003967043226162,4.635222222222222e-05,3.97765873015873e-05,-1.2698412698412699e-05,-1.5873015873015872e-05
2023-06-10,-0.008762628018867857,0.013541375131056155,-0.008741310637915476,0.013517792154865678,-8.618968253968258e-06,4.263059523809523e-05,-1.2698412698412699e-05,-1.9047619047619046e-05
