symbol,total_pnl_usdt,price_pnl_usdt,funding_pnl_usdt,fee_pnl_usdt,avg_weight,avg_abs_weight,max_abs_weight,active_bars,avg_turnover,pnl_share
RUNE-USDT,14.636823246588,15.103145292784344,-0.327662964579066,-0.13865908161727633,0.002472864145658263,0.003358635120714953,0.06349206349206349,296,0.00041474923302654387,0.004273222096486057
SUPER-USDT,14.563537369049062,14.67787964056246,-0.0117212294939923,-0.10262104201940667,0.0007878151260504203,0.0010212418300653595,0.031746031746031744,154,0.0001083766840069361,0.004251826276779567
XAN-USDT,14.541779281529205,14.55453086521869,0.025056742292127978,-0.037808325981611046,-0.00017507002801120448,0.00017507002801120448,0.007936507936507936,42,1.6673336001067092e-05,0.0042454740008245504
LOKA-USDT,14.528149213058523,14.39700502000195,0.19228189336344742,-0.061137700306876305,0.0001750700280112045,0.0005252100840336134,0.015873015873015872,87,5.002000800320128e-05,0.004241494700891479
INIT-USDT,14.382909668673639,14.398796554640256,0.016693577931704104,-0.032580463898320255,-0.00017507002801120448,0.00017507002801120448,0.015873015873015872,25,1.6673336001067092e-05,0.004199092000531362
PIXEL-USDT,13.601074406946086,13.582009596610735,0.06232018479944039,-0.04325537446409046,0.00017507002801120448,0.00035014005602240897,0.015873015873015872,65,3.3346672002134185e-05,0.003970835113094743
SYN-USDT,13.075344522944214,13.077181224241592,0.3167348736615636,-0.3185715749589376,-0.0030418417366946775,0.003500358476724023,0.06349206349206349,264,0.000275110044017607,0.0038173482177997846
DEXE-USDT,13.018213188659065,13.055902288147216,0.14123646144614577,-0.17892556093429113,-0.0011379551820728288,0.0013713818860877683,0.07936507936507936,127,0.00013338668800853674,0.0038006687187065688
DAR-USDT,12.979800065801168,13.522402895078331,-0.32789861486382255,-0.21470421441334134,0.00015318627450980384,0.004090177737761771,0.06349206349206349,395,0.0004022442310257436,0.003789454003421292
DGB-USDT,12.592529590137168,12.930341843279287,-0.07872371404284242,-0.25908853909927265,0.0027135854341736694,0.005397992530345472,0.047619047619047616,560,0.0005627250900360144,0.0036763903470496927
ATA-USDT,12.495586055098183,12.950620135400172,-0.22930279204036585,-0.22573128826162805,-0.0012036064425770307,0.004363203614779244,0.07936507936507936,465,0.0004480959050286781,0.003648087671731356
KDA-USDT,12.46272857696502,12.532751458017291,-0.005737911067979582,-0.06428496998429567,-0.0002626050420168067,0.0004876950780312125,0.03968253968253968,38,5.835667600373482e-05,0.0036384949275116586
REZ-USDT,12.152009579294038,11.748964682865605,0.5259587354740388,-0.12291383904561248,-0.0007002801120448179,0.000992063492063492,0.023809523809523808,139,9.170334800586901e-05,0.0035477804832448564
HOME-USDT,11.976313041189577,12.11704725897967,0.008944292020314867,-0.1496785098104091,-8.753501400560223e-05,0.0006794384420434839,0.023809523809523808,86,7.503001200480192e-05,0.003496485860343736
D-USDT,11.697311367276912,11.844389986295175,-0.07179793000918712,-0.0752806890090752,-0.0005908613445378151,0.0005908613445378151,0.023809523809523808,97,5.627250900360144e-05,0.0034150312921061832
AMB-USDT,11.602052686279979,11.62717907071824,0.18728789126933548,-0.21241427570759253,-0.0008753501400560221,0.003468053888221955,0.05555555555555555,375,0.0003251300520208083,0.0033872205101038045
DEFI-USDT,11.566046018315799,11.154688154580953,0.5632326860908948,-0.15187482235604932,0.0025385154061624646,0.0031950280112044817,0.07142857142857142,343,0.00027927837801787383,0.003376708359579527
SAGA-USDT,11.415449774756894,11.550790325117173,-0.0708631170789057,-0.06447743328137456,0.0,0.00035014005602240897,0.015873015873015872,65,3.3346672002134185e-05,0.003332741770328426
ATH-USDT,11.412608144807148,11.610196934348934,-0.04291992285558846,-0.15466886668619165,-0.0010504201680672268,0.0010504201680672268,0.047619047619047616,96,0.00010004001600640255,0.0033319121561637454
TA-USDT,11.396646000396924,11.480057054053805,-0.06395535401749745,-0.019455699639385367,8.753501400560224e-05,8.753501400560224e-05,0.007936507936507936,21,8.336668000533546e-06,0.00332725200641322
BANANAS31-USDT,11.291763242088091,11.384082127630434,0.053750501821044024,-0.1460693873633929,-0.00043767507002801117,0.000937875150060024,0.03968253968253968,96,9.170334800586901e-05,0.003296631474020702
C-USDT,10.977320820571812,10.992493508518603,0.020589756896766072,-0.03576244484355688,-0.00017507002801120448,0.00017507002801120448,0.007936507936507936,42,1.6673336001067092e-05,0.003204829975768055
VET-USDT,10.964141497368544,11.123592007566709,-0.0948635096036815,-0.06458700059448116,0.0007221638655462184,0.001113987261571295,0.031746031746031744,179,0.00011462918500733626,0.0032009822709635266
RNDR-USDT,10.820885327163534,10.901515538100238,-0.06071629213932142,-0.019913918797384803,0.0004157913165266106,0.0004157913165266106,0.037698412698412696,30,3.959917300253435e-05,0.00315915861690521
CATI-USDT,10.198240929961596,10.263230774330712,0.00770940160919821,-0.07269924597831232,-0.00017507002801120448,0.0005252100840336134,0.015873015873015872,86,5.002000800320128e-05,0.0029773775192208614
LOOM-USDT,10.190025889008796,10.359282686872158,-0.12898242214509598,-0.04027437571826262,0.0,0.0005252100840336134,0.015873015873015872,105,5.002000800320128e-05,0.00297497913714494
1000XEC-USDT,9.950181243836298,10.06791479842498,0.32627717197050277,-0.44401072655917756,0.0007878151260504202,0.006196228491396559,0.047619047619047616,754,0.0006335867680405496,0.002904956467593752
TON-USDT,9.845014899853549,10.047211053422606,-0.1765865916544246,-0.02560956191463324,0.00035014005602240897,0.00035014005602240897,0.031746031746031744,24,3.3346672002134185e-05,0.00287425314233371
LUNA2-USDT,9.835011198763654,9.576991934423596,0.4321085612961962,-0.1740892969561358,-0.0038734243697478993,0.004048494397759103,0.06349206349206349,291,0.0003313825530212085,0.0028713325607413933
SWELL-USDT,9.773595632708822,9.776752616378317,0.05030720605192282,-0.05346418972141514,0.00028448879551820725,0.0003470138055222088,0.023809523809523808,54,3.9599173002534354e-05,0.0028534022797294337
MDT-USDT,9.561093122001694,9.617981125473182,-0.01859078588855294,-0.0382972175829362,0.00026260504201680666,0.0006127450980392157,0.023809523809523808,99,5.835667600373482e-05,0.0027913621492302045
SUN-USDT,9.486057243465044,9.859168872266032,0.03189827584313041,-0.40500990464411707,0.0025385154061624655,0.003347172202214219,0.07142857142857142,312,0.0003167933840202748,0.002769455416547155
AKT-USDT,9.218973431764532,9.157561635042395,0.10955570102635932,-0.04814390430422292,-0.00043767507002801117,0.00043767507002801117,0.015873015873015872,69,4.168334000266773e-05,0.0026914802694442204
ORDER-USDT,9.195295717949085,9.359030422509129,-0.11166489307431207,-0.05206981148573199,-0.0002626050420168067,0.0002626050420168067,0.015873015873015872,59,2.501000400160064e-05,0.0026845675583889693
HUMA-USDT,9.176443532965742,9.154274356855625,0.09692544872559458,-0.07475627261547493,-0.0003282563025210083,0.0003282563025210083,0.02976190476190476,35,3.12625050020008e-05,0.0026790636609871445
TST-USDT,8.764400426123464,8.792807449142146,0.009111165355741392,-0.0375181883744249,-8.753501400560224e-05,0.0002626050420168067,0.015873015873015872,57,2.501000400160064e-05,0.0025587676323202933
CGPT-USDT,8.633393824581754,8.756654382937636,-0.04722733830485466,-0.07603322005102807,5.5230425503534755e-05,0.0005366730025343471,0.015873015873015872,108,4.7935841003067894e-05,0.0025205202411301263
BZRX-USDT,8.470398862470981,8.948410884812104,-0.3985682855691699,-0.07944373677195735,0.0014005602240896359,0.002367613712151527,0.06349206349206349,253,0.00024176337201547283,0.002472933844685117
JOE-USDT,8.362070754922538,8.948133637293894,-0.30914027698116975,-0.2769226053901782,-0.0028063308656796054,0.004165207749766573,0.125,328,0.00039599173002534345,0.0024413074422173255
OMNI-USDT,8.154478626336587,8.323168286886887,0.14074710304456103,-0.3094367635948563,-0.0006127450980392157,0.0028886554621848737,0.07936507936507936,292,0.0002834467120181406,0.0023807008982982512
THE-USDT,8.102170339444275,8.13788914720352,0.0007656875067630908,-0.036484495266008825,0.00017507002801120448,0.00017507002801120448,0.015873015873015872,22,1.6673336001067092e-05,0.0023654294884020042
A2Z-USDT,8.068734425767259,8.057639045382736,0.04562083616034868,-0.03452545577582754,-0.00017507002801120448,0.00017507002801120448,0.007936507936507936,42,1.6673336001067092e-05,0.002355667869864038
BLUAI-USDT,7.710610161656184,7.51720073230393,0.37401193989405024,-0.18060251054179277,-0.0005043684140322795,0.000662765106042417,0.03968253968253968,77,7.086167800453515e-05,0.0022511134530411123
MTL-USDT,7.5769703204117524,8.013016012764128,-0.28391681245098627,-0.1521288799013841,0.00017507002801120437,0.0028344671201814063,0.03968253968253968,328,0.000275110044017607,0.002212097287240947
PIPPIN-USDT,7.484831684399085,8.18693819401809,-0.5937326314568829,-0.10837387816212327,0.00028448879551820725,0.0007659313725490196,0.015873015873015872,141,7.294584500466853e-05,0.002185197402702053
FLUX-USDT,7.455890641306569,7.4523601534926645,0.04840944832653229,-0.04487896051262638,-0.00043767507002801117,0.00043767507002801117,0.023809523809523808,59,4.168334000266773e-05,0.0021767480621071172
MELANIA-USDT,7.433006451159411,7.933783184706847,-0.4405159760865416,-0.060260757460891184,-0.0005252100840336134,0.0005252100840336134,0.047619047619047616,28,5.002000800320128e-05,0.002170067020370836
LUNA-USDT,7.287857360868824,7.588266796256093,-0.29320854572541577,-0.007200889661853656,0.00035014005602240897,0.00035014005602240897,0.031746031746031744,24,3.3346672002134185e-05,0.002127690728093127
PUFFER-USDT,7.1933975118365865,7.191775720727298,0.11022547587436332,-0.10860368476507481,-0.0002626050420168067,0.000496031746031746,0.015873015873015872,94,5.835667600373482e-05,0.002100113165167415
TAKE-USDT,6.973615995229629,6.901731151227866,0.10877639682924059,-0.036891552827479454,-0.00015318627450980392,0.00015318627450980392,0.013888888888888888,26,1.4589169000933706e-05,0.002035947928125081
FLOW-USDT,6.963428171922583,7.504635831732665,-0.37616606818038495,-0.16504159162970006,-0.004464285714285714,0.004689375750300119,0.12301587301587301,247,0.00036889755902360944,0.0020329735920319733
AUCTION-USDT,6.8526758228862725,6.7126725941063174,0.23792592887566824,-0.09792270009571277,-0.000590861344537815,0.0010076947445644925,0.037698412698412696,159,0.00010629251700680272,0.0020006394320051368
