,offset_00,offset_01,offset_02,offset_03,offset_04,offset_05,offset_06,offset_07,offset_08,offset_09,offset_10,offset_11,offset_12,offset_13,offset_14,offset_15,offset_16,offset_17,offset_18,offset_19,offset_20
2023-07-07,1.0291713986419337,1.1022883103349814,1.072824651890576,1.0473631123690081,1.0673610460811915,1.0354165413762921,1.056781819354121,1.048677512488594,1.0418142845463074,1.0112694255678953,0.9921410186487369,0.9966060131804085,1.0700491939518033,1.0559044925878682,1.1065586232854936,1.0888838114466484,1.0283168454077019,1.0996613989943498,1.0352661292736094,1.0305969693174384,1.0228006460613435
2023-07-08,1.0288072891344577,1.1020002589207452,1.0730901224978595,1.0475099720551098,1.0677179977374012,1.0358251094735031,1.0568638239202357,1.048799795896456,1.0414721617310387,1.0108659439534453,0.9919225832514266,0.99654850115837,1.0698848138126864,1.0562049552151607,1.1068471215192974,1.0889506672422278,1.0285472807645901,1.0991401121354334,1.035655049371155,1.0305368141410909,1.0220572938589603
2023-07-09,1.0284091998869413,1.1015568582098452,1.0727423805434142,1.0473211102264515,1.0677093998434553,1.035953362689418,1.0565526275184782,1.0489540093538723,1.0412026920826418,1.0104195866285977,0.9918722700258953,0.9964704402211907,1.0700275877462064,1.0561459601883079,1.1062125935533524,1.088756421809053,1.028169664465812,1.0988189451771453,1.0350005642676496,1.0299162569077633,1.0217939416943607
2023-07-10,1.0280889116384446,1.1016916291545789,1.0727961526150573,1.047762644708055,1.0678908625160763,1.0361981514069158,1.0569128506759446,1.049481959294372,1.041084289905793,1.0111379732525445,0.9917592867607201,0.9963590457777719,1.07010623755564,1.0562154083435358,1.1057064918672126,1.0884263666082643,1.0278447786755547,1.098731828001373,1.0346368244097885,1.029686587959873,1.0216715240631848
2023-07-11,1.0288401780100593,1.1021156161721206,1.0734783296668071,1.0479199598630968,1.0684279163101067,1.0368436448098413,1.0572766416539159,1.049466685205734,1.0408055475129876,1.011669366394152,0.9916511474045918,0.9966267676516114,1.0698409182784574,1.0558652132878965,1.1052756959539807,1.089108293259762,1.0281600638175719,1.0991877882121928,1.0351211695336808,1.0303713234582403,1.022359127141794
2023-07-12,1.0289712998959433,1.1022416680042018,1.0740027729385453,1.0478510376088823,1.068759644268375,1.0368644852737336,1.0572701854633875,1.049226226207588,1.0411831338778792,1.0120472802362974,0.992081746889291,0.9967440090885591,1.0696738865338544,1.056275415077567,1.104580793862621,1.0890999051921255,1.0273665532388743,1.0990758408311678,1.0349986977716175,1.029992911351828,1.0223568007206763
2023-07-13,1.0293028370764452,1.1026695786653355,1.073769730380946,1.0479182567577952,1.0685486060594696,1.0373022960435518,1.0576479428157008,1.0496181828665954,1.0415366091830496,1.0122575098240414,0.9921301793940154,0.997001670847282,1.0699679304985585,1.0559728508959179,1.1047947418936561,1.0893486710616214,1.0274975990147075,1.098884219859104,1.0356520216481693,1.030374896379133,1.0227914933868283
2023-07-14,1.0293588685860477,1.1014426136280524,1.074003936566411,1.046830829146967,1.0681711651535308,1.0371427248134708,1.057529988735198,1.0475166240843463,1.0403996945058318,1.0101214406360328,0.9903599643153826,0.9950555452212075,1.0700553090975644,1.0567096864825778,1.1040378387771144,1.0890834178100417,1.0265950997912077,1.0993679703441772,1.0338427499090062,1.0296095046964466,1.0232608390264528
2023-07-15,1.029137296023565,1.1007721542585058,1.0744070815007778,1.047077094317244,1.0688669207513752,1.037621013069054,1.0583080365914592,1.048040673421728,1.0408060111560806,1.0101377749511429,0.9903291341222931,0.9953842031213904,1.070758667254864,1.0562821422978124,1.1040791009527953,1.0888893444307628,1.026553822344369,1.0997209725572086,1.033813897498944,1.0295165703000446,1.0231900669528389
2023-07-16,1.0291165919623508,1.1012734292273278,1.0740037498706632,1.0470814808351006,1.068763164510793,1.037963653941417,1.0580001752204444,1.0488695741777476,1.0402672356831135,1.0107289419354926,0.9905162499888316,0.9950741866122141,1.0701906789316682,1.055941919061919,1.10375999221031,1.0893316849945052,1.0268486054238695,1.0998428223616157,1.0344663659173905,1.029851835780985,1.0230257306991501
