Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2023-05-04,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-400Shares,33.76,-13504,-400Shares,-,2881.33,18.5,Filled,2023-05-04 09:30:00
2023-05-05,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-500Shares,35.4,-17700,-500Shares,-,4421.67,23.01,Filled,2023-05-05 09:30:00
2023-05-11,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,1300Shares,20.44,26572,1300Shares,-,0,7.97,Filled,2023-05-11 09:30:00
2023-05-11,09:30:00,Stock,永兴材料(002756.XSHE),Buy,Market_Order,100Shares,67.05,6705,100Shares,-,0,5,Filled,2023-05-11 09:30:00
2023-05-17,09:30:00,Stock,中国移动(600941.XSHG),Sell,Market_Order,-200Shares,93,-18600,-200Shares,-,-1460,24.18,Filled,2023-05-17 09:30:00
2023-05-25,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-600Shares,19.19,-11514,-600Shares,-,-750,16.51,Filled,2023-05-25 09:30:00
2023-05-25,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-700Shares,19.19,-13433,-700Shares,-,-875,18.43,Filled,2023-05-25 09:30:00
2023-05-25,09:30:00,Stock,振华科技(000733.XSHE),Buy,Market_Order,200Shares,93,18600,200Shares,-,0,5.58,Filled,2023-05-25 09:30:00
2023-05-25,09:30:00,Stock,天齐锂业(002466.XSHE),Buy,Market_Order,300Shares,77.4,23220,300Shares,-,0,6.97,Filled,2023-05-25 09:30:00
2023-05-30,09:30:00,Stock,天齐锂业(002466.XSHE),Sell,Market_Order,-100Shares,73.08,-7308,-100Shares,-,-432,12.31,Filled,2023-05-30 09:30:00
2023-05-31,09:30:00,Stock,天齐锂业(002466.XSHE),Sell,Market_Order,-100Shares,73.1,-7310,-100Shares,-,-430,12.31,Filled,2023-05-31 09:30:00
2023-06-01,09:30:00,Stock,天齐锂业(002466.XSHE),Sell,Market_Order,-100Shares,71.59,-7159,-100Shares,-,-581,12.16,Filled,2023-06-01 09:30:00
2023-06-01,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1200Shares,14.86,-17832,-1200Shares,-,1476,23.18,Filled,2023-06-01 09:30:00
2023-06-01,09:30:00,Stock,永兴材料(002756.XSHE),Sell,Market_Order,-200Shares,63.2,-12640,-200Shares,-,-300.5,17.64,Filled,2023-06-01 09:30:00
2023-06-01,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-500Shares,28.1,-14050,-500Shares,-,-485,19.05,Filled,2023-06-01 09:30:00
2023-06-02,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-400Shares,14.6,-5840,-400Shares,-,388,10.84,Filled,2023-06-02 09:30:00
2023-06-06,09:30:00,Stock,振华科技(000733.XSHE),Sell,Market_Order,-200Shares,86.1,-17220,-200Shares,-,-1380,22.39,Filled,2023-06-06 09:30:00
2023-06-08,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-200Shares,14.46,-2892,-200Shares,-,166,7.89,Filled,2023-06-08 09:30:00
2023-06-08,09:30:00,Stock,永兴材料(002756.XSHE),Sell,Market_Order,-200Shares,63.5,-12700,-200Shares,-,-240.5,17.7,Filled,2023-06-08 09:30:00
2023-06-08,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-300Shares,29.39,-8817,-300Shares,-,96,13.82,Filled,2023-06-08 09:30:00
2023-06-08,09:30:00,Stock,藏格矿业(000408.XSHE),Buy,Market_Order,1000Shares,23.57,23570,1000Shares,-,0,7.07,Filled,2023-06-08 09:30:00
2023-06-08,09:30:00,Stock,上海莱士(002252.XSHE),Buy,Market_Order,3500Shares,7.07,24745,3500Shares,-,0,7.42,Filled,2023-06-08 09:30:00
2023-06-08,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,800Shares,31,24800,800Shares,-,0,7.44,Filled,2023-06-08 09:30:00
2023-06-09,09:30:00,Stock,藏格矿业(000408.XSHE),Sell,Market_Order,-700Shares,23.65,-16555,-700Shares,-,56,21.56,Filled,2023-06-09 09:30:00
2023-06-09,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-2400Shares,6.94,-16656,-2400Shares,-,-312,21.66,Filled,2023-06-09 09:30:00
2023-06-09,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-500Shares,31.37,-15685,-500Shares,-,185,20.68,Filled,2023-06-09 09:30:00
2023-06-12,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-700Shares,7.08,-4956,-700Shares,-,7,9.96,Filled,2023-06-12 09:30:00
2023-06-13,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-200Shares,7.02,-1404,-200Shares,-,-4,6.4,Filled,2023-06-13 09:30:00
2023-06-26,09:30:00,Stock,藏格矿业(000408.XSHE),Sell,Market_Order,-300Shares,22.66,-6798,-300Shares,-,-273,11.8,Filled,2023-06-26 09:30:00
2023-06-26,09:30:00,Stock,北新建材(000786.XSHE),Buy,Market_Order,1000Shares,23.79,23790,1000Shares,-,0,7.14,Filled,2023-06-26 09:30:00
2023-06-26,09:30:00,Stock,上海莱士(002252.XSHE),Buy,Market_Order,3100Shares,7.51,23281,3100Shares,-,0,6.98,Filled,2023-06-26 09:30:00
2023-06-26,09:30:00,Stock,中国巨石(600176.XSHG),Buy,Market_Order,1700Shares,14.35,24395,1700Shares,-,0,7.32,Filled,2023-06-26 09:30:00
2023-06-26,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,400Shares,32.52,13008,400Shares,-,0,5,Filled,2023-06-26 09:30:00
2023-06-26,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,700Shares,33.96,23772,700Shares,-,0,7.13,Filled,2023-06-26 09:30:00
2023-06-27,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-2300Shares,7.48,-17204,-2300Shares,-,-3.48,22.37,Filled,2023-06-27 09:30:00
2023-06-27,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-400Shares,31.6,-12640,-400Shares,-,-107.43,17.64,Filled,2023-06-27 09:30:00
2023-06-27,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-700Shares,24.32,-17024,-700Shares,-,371,22.13,Filled,2023-06-27 09:30:00
2023-06-27,09:30:00,Stock,中国巨石(600176.XSHG),Sell,Market_Order,-1100Shares,14.31,-15741,-1100Shares,-,-44,20.74,Filled,2023-06-27 09:30:00
2023-06-27,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-400Shares,34.31,-13724,-400Shares,-,140,18.72,Filled,2023-06-27 09:30:00
2023-06-28,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-700Shares,7.53,-5271,-700Shares,-,33.94,10.27,Filled,2023-06-28 09:30:00
