,total_contribution,avg_weight,turnover
9618,0.0,0.0,0.0
9626,0.0,0.0,0.0
9633,0.0,0.0,0.0
9636,0.0,0.0,0.0
9658,0.0,0.0,0.0
9660,0.0,0.0,0.0
9668,0.0,0.0,0.0
9669,0.0,0.0,0.0
9676,0.0,0.0,0.0
9678,0.0,0.0,0.0
9688,0.0,0.0,0.0
1456,0.0,0.0,0.0
1458,0.0,0.0,0.0
1468,0.0,0.0,0.0
1475,0.0,0.0,0.0
1477,0.0,0.0,0.0
1478,0.0,0.0,0.0
1513,0.0,0.0,0.0
1515,0.0,0.0,0.0
1519,0.0,0.0,0.0
1521,0.0,0.0,0.0
1530,0.0,0.0,0.0
1541,0.0,0.0,0.0
1548,0.0,0.0,0.0
7489,0.0,0.0,0.0
1729,0.0,0.0,0.0
1551,0.0,0.0,0.0
1563,0.0,0.0,0.0
1569,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1583,0.0,0.0,0.0
1600,0.0,0.0,0.0
1608,0.0,0.0,0.0
1622,0.0,0.0,0.0
1628,0.0,0.0,0.0
1635,0.0,0.0,0.0
1636,0.0,0.0,0.0
1789,0.0,0.0,0.0
1797,0.0,0.0,0.0
1638,0.0,0.0,0.0
1658,0.0,0.0,0.0
1661,0.0,0.0,0.0
1666,0.0,0.0,0.0
1675,0.0,0.0,0.0
1680,0.0,0.0,0.0
1686,0.0,0.0,0.0
1691,0.0,0.0,0.0
1709,0.0,0.0,0.0
1717,0.0,0.0,0.0
1728,0.0,0.0,0.0
1828,0.0,0.0,0.0
1833,0.0,0.0,0.0
1836,0.0,0.0,0.0
1848,0.0,0.0,0.0
1858,0.0,0.0,0.0
1755,0.0,0.0,0.0
1765,0.0,0.0,0.0
1766,0.0,0.0,0.0
1769,0.0,0.0,0.0
1772,0.0,0.0,0.0
1776,0.0,0.0,0.0
1777,0.0,0.0,0.0
1778,0.0,0.0,0.0
1787,0.0,0.0,0.0
1333,0.0,0.0,0.0
1,0.0,0.0,0.0
1896,0.0,0.0,0.0
2,0.0,0.0,0.0
1907,0.0,0.0,0.0
1908,0.0,0.0,0.0
1910,0.0,0.0,0.0
1799,0.0,0.0,0.0
1800,0.0,0.0,0.0
1801,0.0,0.0,0.0
1810,0.0,0.0,0.0
1813,0.0,0.0,0.0
1816,0.0,0.0,0.0
1817,0.0,0.0,0.0
1818,0.0,0.0,0.0
1942,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1958,0.0,0.0,0.0
1963,0.0,0.0,0.0
1966,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1972,0.0,0.0,0.0
1860,0.0,0.0,0.0
1873,0.0,0.0,0.0
1876,0.0,0.0,0.0
1877,0.0,0.0,0.0
1880,0.0,0.0,0.0
1881,0.0,0.0,0.0
1882,0.0,0.0,0.0
3,0.0,0.0,0.0
1996,0.0,0.0,0.0
1997,0.0,0.0,0.0
1999,0.0,0.0,0.0
2003,0.0,0.0,0.0
2005,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.0,0.0,0.0
4,0.0,0.0,0.0
2013,0.0,0.0,0.0
2015,0.0,0.0,0.0
1911,0.0,0.0,0.0
1919,0.0,0.0,0.0
1921,0.0,0.0,0.0
1928,0.0,0.0,0.0
1929,0.0,0.0,0.0
2020,0.0,0.0,0.0
2038,0.0,0.0,0.0
2039,0.0,0.0,0.0
2048,0.0,0.0,0.0
2050,0.0,0.0,0.0
2051,0.0,0.0,0.0
2057,0.0,0.0,0.0
2068,0.0,0.0,0.0
2096,0.0,0.0,0.0
2097,0.0,0.0,0.0
2098,0.0,0.0,0.0
2099,0.0,0.0,0.0
2105,0.0,0.0,0.0
2111,0.0,0.0,0.0
5,0.0,0.0,0.0
1989,0.0,0.0,0.0
6887,0.0,0.0,0.0
6929,0.0,0.0,0.0
6936,0.0,0.0,0.0
6955,0.0,0.0,0.0
6963,0.0,0.0,0.0
6968,0.0,0.0,0.0
6969,0.0,0.0,0.0
6978,0.0,0.0,0.0
6979,0.0,0.0,0.0
6988,0.0,0.0,0.0
6989,0.0,0.0,0.0
6990,0.0,0.0,0.0
6993,0.0,0.0,0.0
6996,0.0,0.0,0.0
6998,0.0,0.0,0.0
2018,0.0,0.0,0.0
2126,0.0,0.0,0.0
2128,0.0,0.0,0.0
2136,0.0,0.0,0.0
2137,0.0,0.0,0.0
2138,0.0,0.0,0.0
2142,0.0,0.0,0.0
2145,0.0,0.0,0.0
2150,0.0,0.0,0.0
2155,0.0,0.0,0.0
2156,0.0,0.0,0.0
