日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-07-31,09:30:00,Stock,万华化学(600309.XSHG),Sell,Market_Order,-200Shares,52.1,-10420,-200Shares,-,1350,15.42,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-300Shares,25.28,-7584,-300Shares,-,129,12.58,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,宋城演艺(300144.XSHE),Sell,Market_Order,-100Shares,25.65,-2565,-100Shares,-,180,7.56,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,2500Shares,8.84,22100,2500Shares,-,0,6.63,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,方大炭素(600516.XSHG),Buy,Market_Order,800Shares,25.08,20064,800Shares,-,0,6.02,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,北新建材(000786.XSHE),Buy,Market_Order,1000Shares,21,21000,1000Shares,-,0,6.3,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,龙蟒佰利(002601.XSHE),Buy,Market_Order,1600Shares,13.83,22128,1600Shares,-,0,6.64,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,分众传媒(002027.XSHE),Buy,Market_Order,2000Shares,10.88,21760,2000Shares,-,0,6.53,Filled,2018-07-31 09:30:00
2018-08-01,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1700Shares,8.84,-15028,-1700Shares,-,0,20.03,Filled,2018-08-01 09:30:00
2018-08-01,09:30:00,Stock,方大炭素(600516.XSHG),Sell,Market_Order,-500Shares,25.47,-12735,-500Shares,-,195,17.74,Filled,2018-08-01 09:30:00
2018-08-01,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-700Shares,20.79,-14553,-700Shares,-,-147,19.55,Filled,2018-08-01 09:30:00
2018-08-01,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-1100Shares,13.81,-15191,-1100Shares,-,-22,20.19,Filled,2018-08-01 09:30:00
2018-08-01,09:30:00,Stock,分众传媒(002027.XSHE),Sell,Market_Order,-1400Shares,10.65,-14910,-1400Shares,-,-322,19.91,Filled,2018-08-01 09:30:00
2018-08-02,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-500Shares,8.76,-4380,-500Shares,-,-40,9.38,Filled,2018-08-02 09:30:00
2018-08-02,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-300Shares,13.7,-4110,-300Shares,-,-39,9.11,Filled,2018-08-02 09:30:00
2018-08-02,09:30:00,Stock,分众传媒(002027.XSHE),Sell,Market_Order,-400Shares,10.52,-4208,-400Shares,-,-144,9.21,Filled,2018-08-02 09:30:00
2018-08-03,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-100Shares,19.56,-1956,-100Shares,-,-144,6.96,Filled,2018-08-03 09:30:00
2018-08-06,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-200Shares,18.57,-3714,-200Shares,-,-486,8.71,Filled,2018-08-06 09:30:00
