Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2018-11-28,Stock,中文传媒(600373.XSHG),Long,1800Shares,0Shares,12.54,22572,1116,11.92,-,0,1116,1800Shares,5.2%,109875.97,20.54%
2018-11-28,,Cash,,,,,2325.97,,,,,,,,0
2018-11-29,Stock,君正集团(601216.XSHG),Long,2300Shares,2300Shares,2.84,6532,-164.73,2.912,-,0,-184,0Shares,-2.46%,109196.9,5.98%
2018-11-29,Stock,北新建材(000786.XSHE),Long,500Shares,500Shares,15.1,7550,-50,15.2,-,0,-70,0Shares,-0.66%,109196.9,6.91%
2018-11-29,Stock,光线传媒(300251.XSHE),Long,900Shares,900Shares,7.22,6498,-117,7.35,-,0,-306,0Shares,-1.77%,109196.9,5.95%
2018-11-29,Stock,泸州老窖(000568.XSHE),Long,200Shares,200Shares,39.95,7990,6,39.92,-,0,-54,0Shares,0.08%,109196.9,7.32%
2018-11-29,Stock,中文传媒(600373.XSHG),Long,600Shares,600Shares,12.21,7326,174,11.92,-,0,-198,0Shares,2.43%,109196.9,6.71%
2018-11-29,,Cash,,,,,73300.9,,,,,,,,0
2018-11-30,Stock,君正集团(601216.XSHG),Long,700Shares,700Shares,2.84,1988,-50.14,2.912,-,0,0,0Shares,-2.46%,109374.6,1.82%
2018-11-30,Stock,北新建材(000786.XSHE),Long,200Shares,200Shares,15.37,3074,34,15.2,-,0,54,0Shares,1.12%,109374.6,2.81%
2018-11-30,Stock,光线传媒(300251.XSHE),Long,300Shares,300Shares,7.22,2166,-39,7.35,-,0,0,0Shares,-1.77%,109374.6,1.98%
2018-11-30,Stock,泸州老窖(000568.XSHE),Long,200Shares,200Shares,41,8200,216,39.92,-,0,210,0Shares,2.71%,109374.6,7.5%
2018-11-30,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,11.93,2386,2,11.92,-,0,-56,0Shares,0.08%,109374.6,2.18%
2018-11-30,,Cash,,,,,91560.6,,,,,,,,0
2018-12-03,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.92,876,2.51,2.912,-,0,24,0Shares,0.29%,109999.44,0.8%
2018-12-03,Stock,北新建材(000786.XSHE),Long,200Shares,200Shares,15.79,3158,118,15.2,-,0,84,0Shares,3.88%,109999.44,2.87%
2018-12-03,Stock,光线传媒(300251.XSHE),Long,300Shares,300Shares,7.37,2211,6,7.35,-,0,45,0Shares,0.27%,109999.44,2.01%
2018-12-03,Stock,泸州老窖(000568.XSHE),Long,200Shares,200Shares,42.9,8580,596,39.92,-,0,380,0Shares,7.46%,109999.44,7.8%
2018-12-03,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,12.3,2460,76,11.92,-,0,74,0Shares,3.19%,109999.44,2.24%
2018-12-03,,Cash,,,,,92714.44,,,,,,,,0
2018-12-04,Stock,君正集团(601216.XSHG),Long,300Shares,300Shares,2.93,879,5.51,2.912,-,0,3,0Shares,0.63%,110142.44,0.8%
