"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2014-04-18","09:30:00","Equity","600674.XSHG","Buy","MarketOrder","2700 shares","11.32","30564","2700 shares","-","0","9.17","Filled","2014-04-18 09:30:00"
"2014-04-18","09:30:00","Equity","601018.XSHG","Buy","MarketOrder","12400 shares","2.5","31000","12400 shares","-","0","9.3","Filled","2014-04-18 09:30:00"
"2014-04-23","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-700 shares","19.52","-13664","-700 shares","-","-756","18.66","Filled","2014-04-23 09:30:00"
"2014-04-28","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-400 shares","19.36","-7744","-400 shares","-","-496","12.74","Filled","2014-04-28 09:30:00"
"2014-04-28","09:30:00","Equity","600585.XSHG","Sell","MarketOrder","-800 shares","16.5","-13200","-800 shares","-","-712","18.2","Filled","2014-04-28 09:30:00"
"2014-04-28","09:30:00","Equity","601018.XSHG","Sell","MarketOrder","-6200 shares","2.36","-14632","-6200 shares","-","-868","19.63","Filled","2014-04-28 09:30:00"
"2014-04-29","09:30:00","Equity","601018.XSHG","Sell","MarketOrder","-6200 shares","2.29","-14198","-6200 shares","-","-1302","19.2","Filled","2014-04-29 09:30:00"
"2014-05-13","09:30:00","Equity","002001.XSHE","Sell","MarketOrder","-400 shares","20.75","-8300","-400 shares","-","60","13.3","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","600585.XSHG","Sell","MarketOrder","-900 shares","16.68","-15012","-900 shares","-","-639","20.01","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","600674.XSHG","Sell","MarketOrder","-2700 shares","11.53","-31131","-2700 shares","-","567","40.47","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","600009.XSHG","Buy","MarketOrder","2200 shares","13.5","29700","2200 shares","-","0","8.91","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","002304.XSHE","Buy","MarketOrder","500 shares","55.9","27950","500 shares","-","0","8.38","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","600050.XSHG","Buy","MarketOrder","9300 shares","3.24","30132","9300 shares","-","0","9.04","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","002415.XSHE","Buy","MarketOrder","1500 shares","19.5","29250","1500 shares","-","0","8.77","Filled","2014-05-13 09:30:00"
"2014-05-13","09:30:00","Equity","600383.XSHG","Buy","MarketOrder","200 shares","7.4","1480","200 shares","-","0","5","Filled","2014-05-13 09:30:00"
"2014-05-23","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-200 shares","52.51","-10502","-200 shares","-","-678","15.5","Filled","2014-05-23 09:30:00"
"2014-05-23","09:30:00","Equity","002415.XSHE","Sell","MarketOrder","-700 shares","18.38","-12866","-700 shares","-","-784","17.87","Filled","2014-05-23 09:30:00"
"2014-05-23","09:30:00","Equity","600009.XSHG","Sell","MarketOrder","-1500 shares","13.39","-20085","-1500 shares","-","-165","26.11","Filled","2014-05-23 09:30:00"
"2014-05-23","09:30:00","Equity","600050.XSHG","Sell","MarketOrder","-6500 shares","3.21","-20865","-6500 shares","-","-195","27.12","Filled","2014-05-23 09:30:00"
"2014-05-23","09:30:00","Equity","002415.XSHE","Sell","MarketOrder","-500 shares","18.38","-9190","-500 shares","-","-560","14.19","Filled","2014-05-23 09:30:00"
"2014-05-26","09:30:00","Equity","002415.XSHE","Sell","MarketOrder","-300 shares","17.78","-5334","-300 shares","-","-516","10.33","Filled","2014-05-26 09:30:00"
"2014-05-26","09:30:00","Equity","600009.XSHG","Sell","MarketOrder","-400 shares","13.6","-5440","-400 shares","-","40","10.44","Filled","2014-05-26 09:30:00"
"2014-05-26","09:30:00","Equity","600050.XSHG","Sell","MarketOrder","-1900 shares","3.23","-6137","-1900 shares","-","-19","11.14","Filled","2014-05-26 09:30:00"
"2014-05-27","09:30:00","Equity","600050.XSHG","Sell","MarketOrder","-600 shares","3.18","-1908","-600 shares","-","-3.96","6.91","Filled","2014-05-27 09:30:00"
"2014-06-04","09:30:00","Equity","600009.XSHG","Sell","MarketOrder","-300 shares","13.17","-3951","-300 shares","-","-99","8.95","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","002304.XSHE","Sell","MarketOrder","-300 shares","54.67","-16401","-300 shares","-","-369","21.4","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","600050.XSHG","Sell","MarketOrder","-300 shares","3.17","-951","-300 shares","-","-4.98","5.95","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","600383.XSHG","Sell","MarketOrder","-200 shares","7.76","-1552","-200 shares","-","72","6.55","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","002065.XSHE","Buy","MarketOrder","1400 shares","19.9","27860","1400 shares","-","0","8.36","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","600900.XSHG","Buy","MarketOrder","4800 shares","6.1","29280","4800 shares","-","0","8.78","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","601928.XSHG","Buy","MarketOrder","3300 shares","8.79","29007","3300 shares","-","0","8.7","Filled","2014-06-04 09:30:00"
"2014-06-04","09:30:00","Equity","000729.XSHE","Buy","MarketOrder","4300 shares","6.76","29068","4300 shares","-","0","8.72","Filled","2014-06-04 09:30:00"
"2014-06-05","09:30:00","Equity","002065.XSHE","Sell","MarketOrder","-900 shares","19.6","-17640","-900 shares","-","-270","22.93","Filled","2014-06-05 09:30:00"
"2014-06-05","09:30:00","Equity","600900.XSHG","Sell","MarketOrder","-3300 shares","6.05","-19965","-3300 shares","-","-165","25.95","Filled","2014-06-05 09:30:00"
"2014-06-05","09:30:00","Equity","601928.XSHG","Sell","MarketOrder","-2300 shares","8.67","-19941","-2300 shares","-","-276","25.92","Filled","2014-06-05 09:30:00"
"2014-06-05","09:30:00","Equity","000729.XSHE","Sell","MarketOrder","-3000 shares","6.7","-20100","-3000 shares","-","-180","26.13","Filled","2014-06-05 09:30:00"
"2014-06-06","09:30:00","Equity","002065.XSHE","Sell","MarketOrder","-300 shares","19.93","-5979","-300 shares","-","9","10.98","Filled","2014-06-06 09:30:00"
"2014-06-06","09:30:00","Equity","600900.XSHG","Sell","MarketOrder","-1000 shares","6.13","-6130","-1000 shares","-","30","11.13","Filled","2014-06-06 09:30:00"
"2014-06-06","09:30:00","Equity","601928.XSHG","Sell","MarketOrder","-700 shares","8.9","-6230","-700 shares","-","77","11.23","Filled","2014-06-06 09:30:00"
"2014-06-06","09:30:00","Equity","000729.XSHE","Sell","MarketOrder","-900 shares","6.78","-6102","-900 shares","-","18","11.1","Filled","2014-06-06 09:30:00"
"2014-06-09","09:30:00","Equity","600900.XSHG","Sell","MarketOrder","-300 shares","6.07","-1821","-300 shares","-","-9","6.82","Filled","2014-06-09 09:30:00"
"2014-06-09","09:30:00","Equity","000729.XSHE","Sell","MarketOrder","-200 shares","6.76","-1352","-200 shares","-","0","6.35","Filled","2014-06-09 09:30:00"
"2014-06-11","09:30:00","Equity","600157.XSHG","Sell","MarketOrder","-9300 shares","2.41","-22413","-9300 shares","-","1720.5","29.14","Filled","2014-06-11 09:30:00"
"2014-06-12","09:30:00","Equity","600157.XSHG","Sell","MarketOrder","-2800 shares","2.39","-6692","-2800 shares","-","462","11.69","Filled","2014-06-12 09:30:00"
"2014-06-13","09:30:00","Equity","600157.XSHG","Sell","MarketOrder","-900 shares","2.38","-2142","-900 shares","-","139.5","7.14","Filled","2014-06-13 09:30:00"
"2014-06-16","09:30:00","Equity","600157.XSHG","Sell","MarketOrder","-200 shares","2.41","-482","-200 shares","-","37","5.48","Filled","2014-06-16 09:30:00"
"2014-06-20","09:30:00","Equity","000729.XSHE","Sell","MarketOrder","-100 shares","6.39","-639","-100 shares","-","-37","5.64","Filled","2014-06-20 09:30:00"
"2014-06-25","09:30:00","Equity","600157.XSHG","Sell","MarketOrder","-200 shares","2.34","-468","-200 shares","-","23","5.47","Filled","2014-06-25 09:30:00"
"2014-06-25","09:30:00","Equity","002065.XSHE","Sell","MarketOrder","-200 shares","20.7","-4140","-200 shares","-","160","9.14","Filled","2014-06-25 09:30:00"
"2014-06-25","09:30:00","Equity","600900.XSHG","Sell","MarketOrder","-200 shares","6.11","-1222","-200 shares","-","2","6.22","Filled","2014-06-25 09:30:00"
"2014-06-25","09:30:00","Equity","601928.XSHG","Sell","MarketOrder","-300 shares","9.1","-2730","-300 shares","-","93","7.73","Filled","2014-06-25 09:30:00"
"2014-06-25","09:30:00","Equity","000729.XSHE","Sell","MarketOrder","-100 shares","6.44","-644","-100 shares","-","-32","5.64","Filled","2014-06-25 09:30:00"
