"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2022-11-10","Equity","000408.XSHE","Long","11700 shares","0 shares","31.01","362817","-6201","31.54","-","0","-6201","11700 shares","-1.68%","2440603.33"
"2022-11-10","Equity","002460.XSHE","Long","4200 shares","0 shares","85.65","359730","-6132","87.11","-","0","-6132","4200 shares","-1.68%","2440603.33"
"2022-11-10","Equity","000792.XSHE","Long","14200 shares","0 shares","25.32","359544","-9798","26.01","-","0","-9798","14200 shares","-2.65%","2440603.33"
"2022-11-10","Equity","601919.XSHG","Long","31500 shares","0 shares","11.9","374850","6300","11.7","-","0","6300","31500 shares","1.71%","2440603.33"
"2022-11-10","","Cash","","","","","620834.33","","","","","","","","0"
"2022-11-11","Equity","002938.XSHE","Long","3700 shares","3700 shares","30","111000","-1055.41","30.285","-","0","962","0 shares","-0.94%","2478265.56"
"2022-11-11","Equity","000408.XSHE","Long","3600 shares","3600 shares","30.68","110448","-3096","31.54","-","0","-1188","0 shares","-2.73%","2478265.56"
"2022-11-11","Equity","002460.XSHE","Long","1300 shares","1300 shares","88","114400","1157","87.11","-","0","3055","0 shares","1.02%","2478265.56"
"2022-11-11","Equity","000792.XSHE","Long","4300 shares","4300 shares","25.52","109736","-2107","26.01","-","0","860","0 shares","-1.88%","2478265.56"
"2022-11-11","Equity","601919.XSHG","Long","9500 shares","9500 shares","11.97","113715","2565","11.7","-","0","665","0 shares","2.31%","2478265.56"
"2022-11-11","","Cash","","","","","1918966.56","","","","","","","","0"
"2022-11-14","Equity","002938.XSHE","Long","1200 shares","1200 shares","29.89","35868","-474.3","30.285","-","0","-132","0 shares","-1.31%","2476195.91"
"2022-11-14","Equity","000408.XSHE","Long","1100 shares","1100 shares","30.01","33011","-1683","31.54","-","0","-737","0 shares","-4.85%","2476195.91"
"2022-11-14","Equity","002460.XSHE","Long","400 shares","400 shares","84.76","33904","-940","87.11","-","0","-1296","0 shares","-2.7%","2476195.91"
"2022-11-14","Equity","000792.XSHE","Long","1300 shares","1300 shares","25.02","32526","-1287","26.01","-","0","-650","0 shares","-3.81%","2476195.91"
"2022-11-14","Equity","601919.XSHG","Long","2900 shares","2900 shares","12.07","35003","1073","11.7","-","0","290","0 shares","3.16%","2476195.91"
"2022-11-14","","Cash","","","","","2305883.91","","","","","","","","0"
"2022-11-15","Equity","002938.XSHE","Long","400 shares","400 shares","31.08","12432","317.9","30.285","-","0","476","0 shares","2.62%","2476898.07"
"2022-11-15","Equity","000408.XSHE","Long","400 shares","400 shares","30.42","12168","-448","31.54","-","0","164","0 shares","-3.55%","2476898.07"
"2022-11-15","Equity","002460.XSHE","Long","200 shares","200 shares","85.79","17158","-264","87.11","-","0","206","0 shares","-1.52%","2476898.07"
"2022-11-15","Equity","000792.XSHE","Long","400 shares","400 shares","25.4","10160","-244","26.01","-","0","152","0 shares","-2.35%","2476898.07"
"2022-11-15","Equity","601919.XSHG","Long","900 shares","900 shares","12.11","10899","369","11.7","-","0","36","0 shares","3.5%","2476898.07"
"2022-11-15","","Cash","","","","","2414081.07","","","","","","","","0"
"2022-11-16","Equity","002938.XSHE","Long","200 shares","200 shares","30.63","6126","68.95","30.285","-","0","-90","0 shares","1.14%","2475938.55"
"2022-11-16","Equity","000408.XSHE","Long","200 shares","200 shares","29.69","5938","-370","31.54","-","0","-146","0 shares","-5.87%","2475938.55"
"2022-11-16","Equity","002460.XSHE","Long","200 shares","200 shares","83.52","16704","-718","87.11","-","0","-454","0 shares","-4.12%","2475938.55"
