Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2015-05-15,09:30:00,Stock,东方财富(300059.XSHE),Buy,Market_Order,2200Shares,72.78,160116,2200Shares,-,0,48.03,Filled,2015-05-15 09:30:00
2015-05-21,11:25:00,Stock,深圳能源(000027.XSHE),Sell,Market_Order,-100Shares,16.36,-1636,-100Shares,-,236,6.64,Filled,2015-05-21 11:25:00
2015-05-21,11:25:00,Stock,东方财富(300059.XSHE),Sell,Market_Order,-2200Shares,76.6,-168520,-2200Shares,-,8404,219.08,Filled,2015-05-21 11:25:00
2015-05-22,11:25:00,Stock,华能国际(600011.XSHG),Sell,Market_Order,-6800Shares,11.16,-75888,-6800Shares,-,6324,98.65,Filled,2015-05-22 11:25:00
2015-05-29,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,10100Shares,24.84,250884,10100Shares,-,0,75.27,Filled,2015-05-29 09:30:00
2015-06-03,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-10100Shares,27.9,-281790,-10100Shares,-,30906,366.33,Filled,2015-06-03 11:25:00
2015-06-10,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,10400Shares,26.99,280696,10400Shares,-,0,84.21,Filled,2015-06-10 09:30:00
2015-06-15,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-10400Shares,26,-270400,-10400Shares,-,-10296,351.52,Filled,2015-06-15 11:25:00
2015-06-16,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,4700Shares,56.99,267853,4700Shares,-,0,80.36,Filled,2015-06-16 09:30:00
2015-06-18,14:50:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-0Shares,--,0,-4700Shares,-,-0,0,Order_Cancelled,2015-06-18 14:50:00
2015-06-19,11:25:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-4700Shares,49.13,-230911,-4700Shares,-,-36942,300.18,Filled,2015-06-19 11:25:00
2015-06-23,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,3300Shares,34.45,113685,3300Shares,-,0,34.11,Filled,2015-06-23 09:30:00
2015-06-23,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,5600Shares,20.6,115360,5600Shares,-,0,34.61,Filled,2015-06-23 09:30:00
2015-06-24,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,100Shares,11.89,1189,100Shares,-,0,5,Filled,2015-06-24 09:30:00
2015-06-24,09:30:00,Stock,中国铝业(601600.XSHG),Buy,Market_Order,100Shares,8.79,879,100Shares,-,0,5,Filled,2015-06-24 09:30:00
2015-06-24,09:30:00,Stock,中国远洋(601919.XSHG),Buy,Market_Order,100Shares,12.57,1257,100Shares,-,0,5,Filled,2015-06-24 09:30:00
2015-06-25,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-3300Shares,36,-118800,-3300Shares,-,5115,154.44,Filled,2015-06-25 11:25:00
2015-06-25,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-5600Shares,23.18,-129808,-5600Shares,-,14448,168.75,Filled,2015-06-25 11:25:00
2015-06-25,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-100Shares,12.69,-1269,-100Shares,-,80,6.27,Filled,2015-06-25 11:25:00
2015-06-25,11:25:00,Stock,中国铝业(601600.XSHG),Sell,Market_Order,-100Shares,9.38,-938,-100Shares,-,59,5.94,Filled,2015-06-25 11:25:00
2015-06-26,14:50:00,Stock,中国远洋(601919.XSHG),Sell,Market_Order,-0Shares,--,0,-100Shares,-,-0,0,Order_Cancelled,2015-06-26 14:50:00
2015-06-29,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,3800Shares,32.5,123500,3800Shares,-,0,37.05,Filled,2015-06-29 09:30:00
2015-06-29,09:30:00,Stock,中国国旅(601888.XSHG),Buy,Market_Order,2000Shares,61.6,123200,2000Shares,-,0,36.96,Filled,2015-06-29 09:30:00
2015-06-29,11:25:00,Stock,中国远洋(601919.XSHG),Sell,Market_Order,-100Shares,11.91,-1191,-100Shares,-,-66,6.19,Filled,2015-06-29 11:25:00
2015-06-30,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,100Shares,32.28,3228,100Shares,-,0,5,Filled,2015-06-30 09:30:00
2015-07-01,11:25:00,Stock,中国国旅(601888.XSHG),Sell,Market_Order,-2000Shares,70.75,-141500,-2000Shares,-,18300,183.95,Filled,2015-07-01 11:25:00
2015-07-02,09:30:00,Stock,中航黑豹(600760.XSHG),Buy,Market_Order,7500Shares,19.18,143850,7500Shares,-,0,43.15,Filled,2015-07-02 09:30:00
2015-07-02,11:25:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-3800Shares,34.08,-129504,-3800Shares,-,6004,168.36,Filled,2015-07-02 11:25:00
2015-07-02,11:25:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-100Shares,29.9,-2990,-100Shares,-,-238,7.99,Filled,2015-07-02 11:25:00
2015-07-03,09:30:00,Stock,华友钴业(603799.XSHG),Buy,Market_Order,6800Shares,19.4,131920,6800Shares,-,0,39.58,Filled,2015-07-03 09:30:00
2015-07-03,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-03 11:25:00
2015-07-03,14:50:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-03 14:50:00
2015-07-06,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-06 11:25:00
2015-07-06,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-0Shares,--,0,-6800Shares,-,-0,0,Order_Cancelled,2015-07-06 11:25:00
2015-07-06,14:50:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-06 14:50:00
2015-07-06,14:50:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-0Shares,--,0,-6800Shares,-,-0,0,Order_Cancelled,2015-07-06 14:50:00
2015-07-07,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-07 11:25:00
2015-07-07,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-0Shares,--,0,-6800Shares,-,-0,0,Order_Cancelled,2015-07-07 11:25:00
2015-07-07,14:50:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-07 14:50:00
2015-07-07,14:50:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-0Shares,--,0,-6800Shares,-,-0,0,Order_Cancelled,2015-07-07 14:50:00
2015-07-08,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-08 11:25:00
2015-07-08,14:50:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-0Shares,--,0,-7500Shares,-,-0,0,Order_Cancelled,2015-07-08 14:50:00
2015-07-09,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-7500Shares,12.94,-97050,-7500Shares,-,-46800,126.16,Filled,2015-07-09 11:25:00
2015-07-10,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,0Shares,--,0,1100Shares,-,0,0,Order_Cancelled,2015-07-10 09:30:00
2015-07-10,09:30:00,Stock,格林美(002340.XSHE),Buy,Market_Order,1800Shares,13,23400,1800Shares,-,0,7.02,Filled,2015-07-10 09:30:00
2015-07-10,09:30:00,Stock,中航黑豹(600760.XSHG),Buy,Market_Order,1800Shares,13,23400,1800Shares,-,0,7.02,Filled,2015-07-10 09:30:00
2015-07-10,09:30:00,Stock,桐君阁(000591.XSHE),Buy,Market_Order,1700Shares,14,23800,1700Shares,-,0,7.14,Filled,2015-07-10 09:30:00
2015-07-13,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,0Shares,--,0,3400Shares,-,0,0,Order_Cancelled,2015-07-13 09:30:00
2015-07-13,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-6800Shares,17.17,-116756,-6800Shares,-,-14484,151.78,Filled,2015-07-13 11:25:00
2015-07-13,11:25:00,Stock,格林美(002340.XSHE),Sell,Market_Order,-1800Shares,15.38,-27684,-1800Shares,-,4284,35.99,Filled,2015-07-13 11:25:00
2015-07-13,11:25:00,Stock,中航黑豹(600760.XSHG),Sell,Market_Order,-1800Shares,16.48,-29664,-1800Shares,-,6264,38.56,Filled,2015-07-13 11:25:00
2015-07-13,11:25:00,Stock,桐君阁(000591.XSHE),Sell,Market_Order,-1700Shares,15.72,-26724,-1700Shares,-,2924,34.74,Filled,2015-07-13 11:25:00
2015-07-14,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,0Shares,--,0,1900Shares,-,0,0,Order_Cancelled,2015-07-14 09:30:00
2015-07-14,09:30:00,Stock,东方精工(002611.XSHE),Buy,Market_Order,0Shares,--,0,5000Shares,-,0,0,Order_Cancelled,2015-07-14 09:30:00
2015-07-14,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,0Shares,--,0,1600Shares,-,0,0,Order_Cancelled,2015-07-14 09:30:00
2015-07-14,09:30:00,Stock,特变电工(600089.XSHG),Buy,Market_Order,0Shares,--,0,3300Shares,-,0,0,Order_Cancelled,2015-07-14 09:30:00
2015-07-14,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,0Shares,--,0,5200Shares,-,0,0,Order_Cancelled,2015-07-14 09:30:00
2015-07-15,09:30:00,Stock,东方精工(002611.XSHE),Buy,Market_Order,0Shares,--,0,22800Shares,-,0,0,Order_Cancelled,2015-07-15 09:30:00
2015-07-16,09:30:00,Stock,华能国际(600011.XSHG),Buy,Market_Order,4400Shares,10.27,45188,4400Shares,-,0,13.56,Filled,2015-07-16 09:30:00
