Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-06-05,,Cash,,,,,151935.62,,,,,,,,0
2014-06-06,,Cash,,,,,151935.62,,,,,,,,0
2014-06-09,,Cash,,,,,151935.62,,,,,,,,0
2014-06-10,,Cash,,,,,151935.62,,,,,,,,0
2014-06-11,,Cash,,,,,151935.62,,,,,,,,0
2014-06-12,,Cash,,,,,151935.62,,,,,,,,0
2014-06-13,,Cash,,,,,151935.62,,,,,,,,0
2014-06-16,,Cash,,,,,151935.62,,,,,,,,0
2014-06-17,,Cash,,,,,151935.62,,,,,,,,0
2014-06-18,,Cash,,,,,151935.62,,,,,,,,0
2014-06-19,,Cash,,,,,151935.62,,,,,,,,0
2014-06-20,,Cash,,,,,151935.62,,,,,,,,0
2014-06-23,,Cash,,,,,151935.62,,,,,,,,0
2014-06-24,,Cash,,,,,151935.62,,,,,,,,0
2014-06-25,,Cash,,,,,151935.62,,,,,,,,0
2014-06-26,,Cash,,,,,151935.62,,,,,,,,0
2014-06-27,,Cash,,,,,151935.62,,,,,,,,0
2014-06-30,,Cash,,,,,151935.62,,,,,,,,0
2014-07-01,,Cash,,,,,151935.62,,,,,,,,0
2014-07-02,,Cash,,,,,151935.62,,,,,,,,0
2014-07-03,,Cash,,,,,151935.62,,,,,,,,0
2014-07-04,,Cash,,,,,151935.62,,,,,,,,0
2014-07-07,,Cash,,,,,151935.62,,,,,,,,0
2014-07-08,,Cash,,,,,151935.62,,,,,,,,0
2014-07-09,,Cash,,,,,151935.62,,,,,,,,0
2014-07-10,,Cash,,,,,151935.62,,,,,,,,0
2014-07-11,,Cash,,,,,151935.62,,,,,,,,0
2014-07-14,Stock,阳光电源(300274.XSHE),Long,9800Shares,0Shares,16.15,158270,7840,15.35,-,0,7840,9800Shares,5.21%,159730.49,99.09%
2014-07-14,,Cash,,,,,1460.49,,,,,,,,0
2014-07-15,Stock,阳光电源(300274.XSHE),Long,9800Shares,9800Shares,15.79,154742,4312,15.35,-,0,-3528,0Shares,2.87%,156202.49,99.07%
2014-07-15,,Cash,,,,,1460.49,,,,,,,,0
2014-07-16,Stock,阳光电源(300274.XSHE),Long,9800Shares,9800Shares,15.11,148078,-2352,15.35,-,0,-6664,0Shares,-1.56%,149538.49,99.02%
2014-07-16,,Cash,,,,,1460.49,,,,,,,,0
2014-07-17,,Cash,,,,,145822.58,,,,,,,,0
2014-07-18,,Cash,,,,,145822.58,,,,,,,,0
2014-07-21,Stock,阳光电源(300274.XSHE),Long,9900Shares,0Shares,14.88,147312,2475,14.63,-,0,2475,9900Shares,1.71%,148254.13,99.36%
2014-07-21,,Cash,,,,,942.13,,,,,,,,0
2014-07-22,Stock,阳光电源(300274.XSHE),Long,9900Shares,9900Shares,15.4,152460,7623,14.63,-,0,5148,0Shares,5.26%,153402.13,99.39%
2014-07-22,,Cash,,,,,942.13,,,,,,,,0
2014-07-23,Stock,阳光电源(300274.XSHE),Long,9900Shares,9900Shares,14.9,147510,2673,14.63,-,0,-4950,0Shares,1.85%,148452.13,99.37%
2014-07-23,,Cash,,,,,942.13,,,,,,,,0
2014-07-24,Stock,桐君阁(000591.XSHE),Long,100Shares,0Shares,8.32,832,7,8.25,-,0,7,100Shares,0.85%,140352.66,0.59%
2014-07-24,,Cash,,,,,139520.66,,,,,,,,0
2014-07-25,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,8.45,845,20,8.25,-,0,13,0Shares,2.42%,140365.66,0.6%
2014-07-25,,Cash,,,,,139520.66,,,,,,,,0
2014-07-28,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,8.61,861,36,8.25,-,0,16,0Shares,4.36%,140381.66,0.61%
2014-07-28,,Cash,,,,,139520.66,,,,,,,,0
2014-07-29,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,8.77,877,52,8.25,-,0,16,0Shares,6.3%,140397.66,0.62%
2014-07-29,,Cash,,,,,139520.66,,,,,,,,0
2014-07-30,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.06,906,81,8.25,-,0,29,0Shares,9.82%,140426.66,0.65%
2014-07-30,,Cash,,,,,139520.66,,,,,,,,0
2014-07-31,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.07,907,82,8.25,-,0,1,0Shares,9.94%,140427.66,0.65%
2014-07-31,,Cash,,,,,139520.66,,,,,,,,0
2014-08-01,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,8.91,891,66,8.25,-,0,-16,0Shares,8%,140411.66,0.63%
2014-08-01,,Cash,,,,,139520.66,,,,,,,,0
2014-08-04,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.06,906,81,8.25,-,0,15,0Shares,9.82%,140426.66,0.65%
2014-08-04,,Cash,,,,,139520.66,,,,,,,,0
2014-08-05,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.07,907,82,8.25,-,0,1,0Shares,9.94%,140427.66,0.65%
2014-08-05,,Cash,,,,,139520.66,,,,,,,,0
2014-08-06,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.2,920,95,8.25,-,0,13,0Shares,11.52%,140440.66,0.66%
2014-08-06,,Cash,,,,,139520.66,,,,,,,,0
2014-08-07,Stock,桐君阁(000591.XSHE),Long,100Shares,100Shares,9.15,915,90,8.25,-,0,-5,0Shares,10.91%,140435.66,0.65%
2014-08-07,,Cash,,,,,139520.66,,,,,,,,0
2014-08-08,,Cash,,,,,140468.7,,,,,,,,0
2014-08-11,,Cash,,,,,140468.7,,,,,,,,0
2014-08-12,,Cash,,,,,140468.7,,,,,,,,0
2014-08-13,,Cash,,,,,140468.7,,,,,,,,0
2014-08-14,,Cash,,,,,140468.7,,,,,,,,0
2014-08-15,,Cash,,,,,140468.7,,,,,,,,0
2014-08-18,,Cash,,,,,140468.7,,,,,,,,0
2014-08-19,,Cash,,,,,140468.7,,,,,,,,0
2014-08-20,,Cash,,,,,140468.7,,,,,,,,0
2014-08-21,,Cash,,,,,140468.7,,,,,,,,0
2014-08-22,,Cash,,,,,140468.7,,,,,,,,0
2014-08-25,,Cash,,,,,140468.7,,,,,,,,0
2014-08-26,,Cash,,,,,140468.7,,,,,,,,0
2014-08-27,,Cash,,,,,140468.7,,,,,,,,0
2014-08-28,Stock,欣旺达(300207.XSHE),Long,4200Shares,0Shares,33.63,141246,3528,32.79,-,0,3528,4200Shares,2.56%,143955.39,98.12%
2014-08-28,,Cash,,,,,2709.39,,,,,,,,0
2014-08-29,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,34.19,143598,5880,32.79,-,0,2352,0Shares,4.27%,146307.39,98.15%
2014-08-29,,Cash,,,,,2709.39,,,,,,,,0
2014-09-01,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,33.3,139860,2142,32.79,-,0,-3738,0Shares,1.56%,142569.39,98.1%
2014-09-01,,Cash,,,,,2709.39,,,,,,,,0
2014-09-02,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.8,137760,42,32.79,-,0,-2100,0Shares,0.03%,140469.39,98.07%
2014-09-02,,Cash,,,,,2709.39,,,,,,,,0
2014-09-03,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,546,0Shares,0.43%,141015.39,98.08%
2014-09-03,,Cash,,,,,2709.39,,,,,,,,0
2014-09-04,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-04,,Cash,,,,,2709.39,,,,,,,,0
2014-09-05,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-05,,Cash,,,,,2709.39,,,,,,,,0
2014-09-09,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-09,,Cash,,,,,2709.39,,,,,,,,0
2014-09-10,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-10,,Cash,,,,,2709.39,,,,,,,,0
2014-09-11,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-11,,Cash,,,,,2709.39,,,,,,,,0
2014-09-12,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-12,,Cash,,,,,2709.39,,,,,,,,0
2014-09-15,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-15,,Cash,,,,,2709.39,,,,,,,,0
2014-09-16,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-16,,Cash,,,,,2709.39,,,,,,,,0
2014-09-17,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-17,,Cash,,,,,2709.39,,,,,,,,0
2014-09-18,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-18,,Cash,,,,,2709.39,,,,,,,,0
2014-09-19,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-19,,Cash,,,,,2709.39,,,,,,,,0
2014-09-22,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-22,,Cash,,,,,2709.39,,,,,,,,0
2014-09-23,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-23,,Cash,,,,,2709.39,,,,,,,,0
2014-09-24,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-24,,Cash,,,,,2709.39,,,,,,,,0
2014-09-25,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-25,,Cash,,,,,2709.39,,,,,,,,0
2014-09-26,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-26,,Cash,,,,,2709.39,,,,,,,,0
2014-09-29,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-29,,Cash,,,,,2709.39,,,,,,,,0
2014-09-30,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-09-30,,Cash,,,,,2709.39,,,,,,,,0
2014-10-08,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-08,,Cash,,,,,2709.39,,,,,,,,0
