date,rolling_60d_trading_cost_hkd
2023-02-13,1268.0554674711902
2023-02-14,1245.4312259284159
2023-02-15,1260.6878350004986
2023-02-16,1255.4260342036039
2023-02-17,1275.1191950866885
2023-02-20,1264.2389961438917
2023-02-21,1275.8816395371591
2023-02-22,1283.061343972112
2023-02-23,1281.3029572921603
2023-02-24,1278.3116162158778
2023-02-27,1267.0904120859798
2023-02-28,1275.2627745013497
2023-03-01,1273.8344993276623
2023-03-02,1264.9048766184342
2023-03-03,1269.674595750577
2023-03-06,1135.4978090855254
2023-03-07,1123.6408074709418
2023-03-08,1116.8440881033066
2023-03-09,1129.91472050065
2023-03-10,1109.1212489034754
2023-03-13,1101.9244800013314
2023-03-14,1103.366768900334
2023-03-15,1099.0641626616339
2023-03-16,1099.382981758401
2023-03-17,1098.500344689406
2023-03-20,1101.4530053067408
2023-03-21,1109.6355589441066
2023-03-22,1120.9265388784302
2023-03-23,1119.838005733844
2023-03-24,1118.6943390671772
2023-03-27,1130.47780918839
2023-03-28,1133.9577565251245
2023-03-29,1117.6930113426586
2023-03-30,1112.132273570886
2023-03-31,1106.8430970614238
2023-04-03,1091.4758832802204
2023-04-04,1091.8883539848455
2023-04-06,1082.4657439456894
2023-04-11,1083.5885772790227
2023-04-12,1085.6735852607324
2023-04-13,1087.3198781848796
2023-04-14,1091.639724518213
2023-04-17,1091.2108911848795
2023-04-18,1092.5228911848797
2023-04-19,1077.056028279911
2023-04-20,967.8061853659066
2023-04-21,1013.5938134658743
2023-04-24,1009.2367809112336
2023-04-25,1011.2053718266181
2023-04-26,1023.9964862483498
2023-04-27,1001.3001487988264
2023-04-28,1041.8339106997364
2023-05-02,1035.6063746634886
2023-05-03,1032.8661303188383
2023-05-04,1060.3706856126778
2023-05-05,1076.8458487842363
2023-05-08,1086.6572095256827
2023-05-09,1094.6946189385433
2023-05-10,1112.571638095188
2023-05-11,1120.2416544215403
2023-05-12,1229.1276720888332
2023-05-15,1289.9467443528274
2023-05-16,1307.342963280175
2023-05-17,1307.3561279467801
2023-05-18,1299.9356084949002
2023-05-19,1313.4555215064838
2023-05-22,1304.7237592270583
2023-05-23,1310.9460893858227
2023-05-24,1303.5665514688424
2023-05-25,1289.0541751856267
2023-05-29,1285.7193213900423
2023-05-30,1273.6154967297452
2023-05-31,1266.8656322591064
2023-06-01,1263.6038130560125
2023-06-02,1256.8588186909897
2023-06-05,1319.3170667118
2023-06-06,1312.5840604093407
2023-06-07,1317.6178617847895
2023-06-08,1322.1437553234268
2023-06-09,1321.9964970571932
2023-06-12,1332.606915364559
2023-06-13,1340.67935895585
2023-06-14,1356.6092990997736
2023-06-15,1376.20124120578
2023-06-16,1385.7876265492812
2023-06-19,1382.371628538453
2023-06-20,1375.410434265518
2023-06-21,1368.5500404737531
2023-06-23,1378.136564680702
2023-06-26,1377.5142907682227
2023-06-27,1415.6370271348267
2023-06-28,1401.585326956894
2023-06-29,1449.7124260497474
2023-06-30,1472.0731646438674
2023-07-03,1476.6601950187885
2023-07-04,1489.2285828741658
2023-07-05,1478.6003816952946
2023-07-06,1481.5914041529197
2023-07-07,1485.2609301409734
2023-07-10,1500.3037689314983
2023-07-11,1517.7763843177054
2023-07-12,1519.4375826398743
2023-07-13,1539.3033848323325
2023-07-14,1549.7062239880402
2023-07-17,1546.4435573213736
2023-07-18,1507.7533464961462
2023-07-19,1471.5954862754215
2023-07-20,1482.1169120147072
2023-07-21,1469.7991489230408
2023-07-24,1443.7420208928415
2023-07-25,1432.7063849750443
2023-07-26,1384.5665206230356
2023-07-27,1405.1171919493406
2023-07-28,1413.8378323786646
2023-07-31,1389.6485245741146
2023-08-01,1378.52458358319
2023-08-02,1365.9000783245021
2023-08-03,1350.410358501829
