date,rolling_60d_turnover_hkd
2019-11-11,80045.02926835013
2019-11-12,81571.80912307989
2019-11-13,82622.42168233213
2019-11-14,84106.82767874122
2019-11-15,84192.55902075046
2019-11-18,84510.95567195845
2019-11-19,84389.55355750043
2019-11-20,85401.1007354395
2019-11-21,86968.90504025902
2019-11-22,90518.22695175339
2019-11-25,90087.34024161725
2019-11-26,90053.54771384584
2019-11-27,90446.8514542175
2019-11-28,90535.64402240113
2019-11-29,90809.0347605828
2019-12-02,90624.92043147668
2019-12-03,90698.91631526529
2019-12-04,90917.03324045103
2019-12-05,90802.60198619151
2019-12-06,90818.52999415161
2019-12-09,90882.96974297446
2019-12-10,91114.2029581972
2019-12-11,91366.98436604772
2019-12-12,86279.74734165416
2019-12-13,90930.36102944848
2019-12-16,92591.72779963429
2019-12-17,88457.66147870262
2019-12-18,88578.36238886768
2019-12-19,88458.47380077215
2019-12-20,88354.16364837204
2019-12-23,88323.70656576892
2019-12-24,88242.36094422403
2019-12-27,88077.41680994869
2019-12-30,88930.07271235317
2019-12-31,89019.198760121
2020-01-02,88934.9837692518
2020-01-03,89108.66714557153
2020-01-06,89324.08892682305
2020-01-07,99601.81992220794
2020-01-08,100072.68460869679
2020-01-09,100105.75158863702
2020-01-10,100140.58074276368
2020-01-13,100054.65525630918
2020-01-14,100110.32700790439
2020-01-15,100005.1103460277
2020-01-16,99642.83947484572
2020-01-17,99288.09562493369
2020-01-20,99613.1032930682
2020-01-21,99908.14972221904
2020-01-22,99601.50709004719
2020-01-23,99547.16082229998
2020-01-24,99338.55894278083
2020-01-29,98944.98922074819
2020-01-30,102705.17161456766
2020-01-31,103370.41308559167
2020-02-03,101971.93989206917
2020-02-04,101947.75579049479
2020-02-05,102240.99811202522
2020-02-06,101977.15162206977
2020-02-07,101140.36160378765
2020-02-10,100681.08516797172
2020-02-11,98841.3842171393
2020-02-12,97014.38806991836
2020-02-13,95196.71521334955
2020-02-14,94802.08038064122
2020-02-17,94226.1881162012
2020-02-18,94094.7045840506
2020-02-19,92507.42787463618
